,ticker,company,sector,price_to_book_ratio,price_to_sales_ratio,price_earnings_ratio,price_earnings_to_growth_ratio,dividend_yield,enterprise_value_multiple
239,HST,Host Hotels & Resorts,Real Estate,1.6513820194015574E-6,2.2099954287803985E-6,1.313746195652174E-5,8.826392333806649E-12,51545.26157979194,0.2734720367758271
240,HPQ,HP Inc.,Information Technology,-23.60758591785415,0.4793357274150725,8.935231598984771,2.541181879568599,0.034441313953880594,6.224594243670201
241,HUM,Humana Inc.,Health Care,3.8226333970258373,0.7091147546541733,16.997797635759145,1.353915485479318,0.006324294404015251,12.642696628616937
242,HBAN,Huntington Bancshares,Financials,1.4106222446406054,17.77608190692395,11.24244663316583,10.252258192687552,0.03282095153869269,11.141314549740688
243,HII,Huntington Ingalls Industries,Industrials,6.929807304785894,1.7565098164405428,20.044688524590164,0.9926436661698956,0.01353987365571318,12.64548033126294
244,IEX,IDEX Corporation,Industrials,5.541885721683489,5.02793723815659,29.47576378134099,5.427027318617373,0.011736682249327212,19.414497969418793
245,IDXX,IDEXX Laboratories,Health Care,137.6739501219904,10.151368041487252,57.12477543720191,13.047468342854149,,38.54107850893413
246,INFO,IHS Markit Ltd.,Industrials,3.550298842653105,6.768134145788974,59.43625422717327,43.78532834917153,,22.13155207408347
247,ITW,Illinois Tool Works,Industrials,19.017099009900992,4.084046353391452,22.856727489091632,2.8885267396475927,0.02292534719058634,16.561862591431556
248,ILMN,Illumina Inc,Health Care,10.014992412746585,13.03955969517358,46.106946107784424,8.20547345985994,,37.16009844134536
249,INCY,Incyte,Health Care,6.049376740971196,7.281376392640401,35.17235575266387,69.03634471493383,,30.525915244918835
250,IR,Ingersoll Rand,Industrials,3.7181904395745224,1.6665434446841374,19.521333732057418,3.7046473964107123,0.018363390316139837,12.856920444073895
251,INTC,Intel Corp.,Information Technology,3.7437129696531795,4.031858959216286,13.785287438236413,2.8922060805913756,0.019217465229432792,9.584605763671222
252,ICE,Intercontinental Exchange,Financials,3.2567586206896553,8.58337711929128,29.071583031557164,8.203801851460549,0.0110507324713762,19.19471364317841
253,IBM,International Business Machines,Information Technology,5.822520287455017,1.5729340779401664,12.866837589953347,1.3079640238474113,0.04703036058557959,10.394893393580894
254,IP,International Paper,Materials,2.628975957620212,0.8304522869647302,9.619543240556661,1.8355201211342025,0.0407656691684594,9.462695722097138
255,IPG,Interpublic Group,Communication Services,3.226888576677834,0.8763581931848199,13.654756097560975,8.518502713311186,0.040535773294393986,8.03553646819042
256,IFF,Intl Flavors & Fragrances,Materials,2.3946261948909044,2.8964738747460155,32.658479488805,10.76175334831418,0.021057730636008846,18.878911612381145
257,INTU,Intuit Inc.,Information Technology,18.322752734062416,10.12558962264151,44.118175979447656,9.472110449757547,0.007293425726431026,32.232804232804234
258,ISRG,Intuitive Surgical Inc.,Health Care,7.971506570826981,17.546529579415605,47.759686797650986,4.886486263364592,,40.72694225228611
259,IVZ,Invesco Ltd.,Financials,0.5567836970243462,1.2617147807892242,13.668167168408004,6.778345702683535,0.06855035244287234,8.87574964495841
260,IPGP,IPG Photonics Corp.,Information Technology,2.897036935104171,5.292856758160965,38.60475232198142,5.069974934736185,,19.146542396708487
261,IQV,IQVIA Holdings Inc.,Health Care,5.10256538397468,2.7625090187590184,160.37015706806284,120.80392912733227,,20.802560240963857
262,IRM,Iron Mountain Incorporated,Real Estate,6.2511903929200345,2.146938380569157,34.226972364863094,27.03212179550112,0.07698471293769762,11.853278010280334
263,JKHY,Jack Henry & Associates,Information Technology,7.511827534109207,6.913480660350321,39.48176324548982,8.087964880852743,0.01106199719126161,21.057385640989292
264,J,Jacobs Engineering Group,Industrials,2.2667200221324304,1.016936626286283,15.275855310096123,12.890133317726907,0.008213621152156049,23.90385722497039
265,JBHT,J. B. Hunt Transport Services,Industrials,5.287317771409188,1.3078562705946537,23.215259374031607,5.089352356292449,0.009328575866706181,10.74261560481533
266,SJM,JM Smucker,Consumer Staples,1.6421884448905337,1.6699493493238071,25.44530132192846,2.149905557679747,0.02887143258459372,13.435568404974907
267,JNJ,Johnson & Johnson,Health Care,6.649332447747642,4.81900157203963,26.155331040412726,4.522681972608727,0.025078238312553444,18.34026798626175
268,JCI,Johnson Controls International,Industrials,1.9023242942426388,1.5688143357810413,6.626954881917519,2.6673340139891883,0.024467211835152054,22.331388623072833
269,JPM,JPMorgan Chase & Co.,Financials,1.675160276279034,3.786050273724995,12.016404573028463,1.1920566401432284,0.028195194488535053,14.145552794209362
270,JNPR,Juniper Networks,Information Technology,1.7060998568516028,1.769501957079228,22.80041739130435,13.803322012163791,0.0330657562332955,12.772787739463602
271,KSU,Kansas City Southern,Industrials,3.832283866591294,5.913564340544313,31.449759510113196,4.97842574993051,0.008514140618696814,16.204911398544866
272,K,Kellogg Co.,Consumer Staples,,,,,,3.9379310344827587
273,KEY,KeyCorp,Financials,1.1109928559690103,4.842439570222563,11.024517344205007,5.861374296103799,0.04247429397088998,13.853334635439682
274,KEYS,Keysight Technologies,Information Technology,6.002982689747004,4.190787822449454,29.038582930756842,33.08638539989265,,17.883179587831208
275,KMB,Kimberly-Clark,Consumer Staples,-1505.9050909090909,2.686209081081081,23.038881780250346,5.614297716095049,0.028332905522558186,14.585431934493347
276,KIM,Kimco Realty,Real Estate,1.3099182140926062,5.998519019336139,14.035590976205064,13.856586337667956,0.07582189780909486,12.684699368045646
277,KMI,Kinder Morgan,Energy,1.4372260091280897,3.671351351351352,22.14378082191781,31.15818507198379,0.0446026467123952,11.225991584091217
278,KLAC,KLA Corporation,Information Technology,8.21607095311661,4.78176385408842,18.58379046917491,3.6148358137101235,0.02161641969623873,17.216142914636926
279,KSS,Kohl's Corp.,Consumer Discretionary,1.969364935769857,0.5380730634237976,13.588863920099877,2.59438147019369,0.0367488984517689,5.129754838709678
280,KHC,Kraft Heinz Co,Consumer Staples,0.7178457276795227,1.483658966248949,19.15108527131783,-2.2942970090540684,0.052702095535703444,17.034686003193187
281,KR,Kroger Co.,Consumer Staples,2.756837944664032,0.19392506092275483,14.294345991561181,3.6724059315940143,0.020493946273812617,6.207616326530612
282,LB,L Brands Inc.,Consumer Discretionary,-4.096731154102735,0.47553043208920553,-16.778688524590166,-7.190866510538642,0.05406285621234327,12.537825059101655
283,LHX,L3Harris Technologies,Industrials,,,,,,
284,LH,Laboratory Corp. of America Holding,Health Care,2.1536991135209567,1.324783207157605,16.990265927350908,1.3584710337749426,4.2626035529599854E-4,2.999786984769411
285,LRCX,Lam Research,Information Technology,6.894005487963388,3.3378001791878,14.703481726543854,0.9417294827404235,0.021052552547419192,11.8838907928363
286,LW,Lamb Weston Holdings Inc,Consumer Staples,-1991.763043478261,2.439001730334087,19.143564563309653,6.728724108744876,0.012366147099303545,13.80369523350987
287,LVS,Las Vegas Sands,Consumer Discretionary,9.840023134759978,3.7149865346822915,18.9177909562639,6.044598768039564,0.058777199148906153,11.976211631663974
288,LEG,Leggett & Platt,Consumer Discretionary,5.072466463414634,1.4003316149395055,19.937315757938883,8.779974401078606,0.030743450563149092,13.70590996784566
289,LDOS,Leidos Holdings,Information Technology,4.209554644008204,1.295043266630611,21.540044977511243,5.301594546960598,,14.421097666378564
290,LEN,Lennar Corp.,Consumer Discretionary,0.9077552287876413,0.6434329217746516,7.80529701367648,2.9658741865412077,0.0037139070995924183,9.216776847481528
291,LLY,Lilly (Eli) & Co.,Health Care,50.95484580536269,5.951485809717959,15.968718447057125,4.600191531125792,0.0181414140802853,22.438083793183043
292,LNC,Lincoln National,Financials,0.9615567266341463,0.8401326733560643,8.408494227422302,0.873352754448329,0.02094454987881572,9.453579165581909
293,LIN,Linde plc,Materials,2.295961275217019,3.9914979318407253,49.309410774617064,6.090168069774172,0.016783228657028477,16.03622094750656
